Account,User,JobID,Start,End,AllocCPUS,Elapsed,AllocTRES,CPUTime,AveRSS,MaxRSS MaxR,SSTask M,axRSSNode,,NodeList E,xitCode,State,,Group,Jobs
pughlab,hshirley,2379715,2021-05-19T21:22:30,2021-05-19T21:22:34,1,0:00:04,"billing=125,cpu=1,mem=500G,no+",0:00:04,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2379717,2021-05-19T21:25:00,2021-05-19T21:25:05,1,0:00:05,"billing=125,cpu=1,mem=500G,no+",0:00:05,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2379718,2021-05-19T21:32:00,2021-05-19T21:46:14,1,0:14:14,"billing=125,cpu=1,mem=500G,no+",0:14:14,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2379757,2021-05-19T23:20:20,2021-05-19T23:34:35,1,0:14:15,"billing=125,cpu=1,mem=500G,no+",0:14:15,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2379825,2021-05-20T08:51:11,2021-05-20T10:37:16,1,1:46:05,"billing=125,cpu=1,mem=500G,no+",1:46:05,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2379847,2021-05-20T09:49:02,2021-05-20T09:49:17,1,0:00:15,"billing=125,cpu=1,mem=500G,no+",0:00:15,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2379849,2021-05-20T09:53:02,2021-05-20T11:58:41,1,2:05:39,"billing=125,cpu=1,mem=500G,no+",2:05:39,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2379883,2021-05-20T11:05:02,2021-05-20T11:05:07,1,0:00:05,"billing=125,cpu=1,mem=500G,no+",0:00:05,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2379917,2021-05-20T11:16:32,2021-05-20T12:29:25,1,1:12:53,"billing=125,cpu=1,mem=500G,no+",1:12:53,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2379919,2021-05-20T11:59:16,2021-05-20T11:59:17,1,0:00:01,"billing=125,cpu=1,mem=500G,no+",0:00:01,,,,,,node96,2:00,FAILED,,,
pughlab,hshirley,2382245,2021-05-20T12:02:16,2021-05-20T12:07:16,1,0:05:00,"billing=125,cpu=1,mem=500G,no+",0:05:00,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2382250,2021-05-20T12:14:17,2021-05-20T12:22:08,1,0:07:51,"billing=125,cpu=1,mem=500G,no+",0:07:51,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2382257,2021-05-20T12:24:32,2021-05-20T12:27:49,1,0:03:17,"billing=187,cpu=1,mem=750G,no+",0:03:17,,,,,,node96,0:00,CANCELLED by 25120,,,
pughlab,hshirley,2382261,2021-05-20T12:28:11,2021-05-20T13:47:42,1,1:19:31,"billing=187,cpu=1,mem=750G,no+",1:19:31,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2382279,2021-05-20T13:23:30,2021-05-20T15:10:14,1,1:46:44,"billing=125,cpu=1,mem=500G,no+",1:46:44,,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2382319,2021-05-20T13:58:02,2021-05-20T14:13:55,1,0:15:53,"billing=187,cpu=1,mem=750G,no+",0:15:53,,,,,,node96,0:00,COMPLETED,,,
